タイトル,bSP,BSP,DSP,ESP,CSP,BDP,DDP,EDP,CDP
AM-3P(AM EAST mix),-,-,-,-,10,-,-,-,11
Amalgamation,3,7,10,13,15,7,10,13,15
Angelic Jelly,4,6,11,13,-,6,10,13,-
ANNIVERSARY ∴∵∴ ←↓↑→,4,7,12,16,-,7,12,16,-
Another Phase,4,7,11,15,16,7,11,15,15
Anti-Matter,6,11,14,17,18,11,15,17,18
Arrabbiata,5,11,13,15,-,12,14,16,-
Astrogazer,3,7,12,15,18,7,12,15,18
Avenger,4,10,14,17,-,10,14,17,-
AWAKE,3,5,10,13,16,6,10,13,16
B4U,3,5,7,10,-,5,8,10,-
"B4U (""VOLTAGE"" Special)",-,-,-,-,14,-,-,-,15
B4U(B4 ZA BEAT MIX),-,-,-,-,10,-,-,-,10
BABY BABY GIMME YOUR LOVE,1,2,4,7,-,3,5,9,-
Back In Your Arms,2,5,8,10,-,5,8,10,-
Bad Apple!! feat. nomico,3,5,8,12,-,5,9,11,-
Bad Routine,3,5,7,9,-,4,8,9,-
bag,2,7,11,13,13,7,12,13,13
Baile Le Samba,1,3,10,11,-,3,6,10,-
BALLAD FOR YOU～想いの雨～,2,5,9,11,-,4,9,11,-
BALLAD THE FEATHERS,1,4,7,10,8,4,7,11,8
bass 2 bass,2,5,9,12,-,5,10,12,-
Be a Hero!,7,9,13,17,-,10,14,17,-
BE LOVIN,4,5,9,12,-,5,10,12,-
Beautiful Dream,3,7,9,12,15,7,9,12,15
Beautiful Inside (Cube::Hard Mix),3,5,7,10,-,4,7,11,-
Believe,2,4,9,11,-,5,9,11,-
Blew My Mind,4,9,12,16,18,9,12,16,18
"Blind Justice ～Torn souls, Hurt Faiths ～",3,5,8,12,-,5,8,12,-
Bloody Tears(IIDX EDITION),4,5,6,11,-,5,7,11,-
Blue Rain,2,5,6,11,-,5,7,11,-
Bombay Bomb,2,6,10,12,-,6,10,12,-
Boss Rush,4,10,14,16,-,10,14,16,-
Brazilian Anthem,3,5,8,12,-,5,8,10,-
BRE∀K DOWN！,3,5,7,12,-,5,8,13,-
Break Free,3,6,9,11,-,6,9,11,-
BRILLIANT 2U,3,6,6,10,10,6,7,9,10
"BRILLIANT 2U (""STREAM"" Special)",-,-,-,-,13,-,-,-,13
BRILLIANT 2U(K.O.G G3 MIX),-,-,-,-,10,-,-,-,9
BRILLIANT 2U(Orchestra Groove),4,6,8,9,12,6,8,9,12
BROKEN MY HEART,3,5,7,12,-,5,9,12,-
BURNIN' THE FLOOR,3,5,8,10,-,5,7,12,-
BURNIN' THE FLOOR(BLUE FIRE mix),3,5,8,10,-,5,7,12,-
BURNING HEAT！（3 Option MIX）,3,4,8,13,-,4,7,12,-
cachaca,1,3,7,12,-,4,9,11,-
Can Be Real,3,4,6,10,-,3,6,10,-
CANDY♡,4,5,7,10,-,4,6,10,-
CANDY☆,4,6,7,11,-,5,8,11,-
CANDY☆(X-Special),-,-,-,-,12,-,-,-,13
CAN'T STOP FALLIN' IN LOVE,3,5,6,11,-,5,6,12,-
CAN'T STOP FALLIN' IN LOVE ～SPEED MIX～,4,6,9,12,-,5,9,12,-
CAN'T STOP FALLIN' IN LOVE -super euro version-,3,4,7,8,-,1,5,8,-
CaptivAte～誓い～,4,5,8,13,-,5,8,13,-
CARTOON HEROES (20th Anniversary Mix),4,9,14,16,-,10,12,16,-
Catch Our Fire!,5,10,13,17,-,9,14,18,-
CELEBRATE NITE,3,6,8,11,-,6,8,10,-
CELEBRATE NITE(EURO TRANCE STYLE),3,6,8,11,-,6,8,10,-
CENTAUR,4,6,9,12,-,6,9,12,-
CG Project,3,5,9,12,-,5,9,13,-
Chance and Dice,3,5,7,9,-,4,7,10,-
CHAOS,6,8,12,14,16,9,12,14,15
chaos eater,6,8,12,16,-,8,12,16,-
CHAOS Terror-Tech Mix,5,8,12,16,-,8,12,15,-
Children of the Beat,3,7,9,11,12,7,9,10,13
Chinese Snowy Dance,4,7,12,16,-,7,12,16,-
CHOCOLATE PHILOSOPHY,2,4,8,9,12,4,8,10,12
Chronos,1,4,8,12,15,4,8,12,15
Chronos (walk with you remix),3,6,10,14,-,6,10,14,-
Cleopatrysm,4,7,11,15,-,7,11,15,-
Colors ～for EXTREME～,3,5,8,9,13,5,7,10,13
COME BACK TO MY HEART,2,5,8,12,6,5,8,12,6
Come to Life,4,8,12,16,18,8,13,16,18
Condor,2,6,9,13,15,6,9,13,15
Confession,2,4,7,12,14,4,7,12,14
Cosmic Hurricane,3,6,9,13,15,6,9,13,15
Cosy Catastrophe,6,9,13,16,18,10,13,16,18
Crazy Control,1,4,6,9,12,4,7,10,12
CRAZY♥LOVE,3,6,12,15,-,7,12,15,-
CURUS,2,3,7,10,-,4,5,12,-
CUTIE CHASER,3,5,7,10,-,5,7,10,-
CUTIE CHASER(MORNING MIX),3,3,4,9,-,4,6,9,-
Cytokinesis,4,8,10,14,-,8,10,14,-
D2R,3,4,7,11,-,4,8,11,-
"D2R (""FREEZE"" Special)",-,-,-,-,12,-,-,-,13
Daily Lunch Special,3,7,10,14,-,7,10,14,-
DANCE ALL NIGHT (DDR EDITION),1,5,8,10,-,5,8,10,-
Dance Celebration,2,5,8,11,12,6,7,11,12
Dance Celebration (System 7 Remix),3,6,9,13,-,7,8,13,-
Dance Dance Revolution,5,6,8,12,12,6,8,12,11
Dance Dance Revolution(X-Special),-,-,-,-,13,-,-,-,13
Dance Floor,2,5,6,9,-,5,7,10,-
Dance Partay,2,5,7,11,13,5,8,11,12
Dancer in the flare,3,6,10,13,-,6,11,13,-
dazzle,2,4,8,10,-,4,8,10,-
Dazzlin' Darlin,2,6,9,11,-,6,10,12,-
Dazzlin' Darlin-秋葉工房mix-,3,5,8,11,-,5,7,12,-
DDR MEGAMIX,6,8,13,15,16,8,13,16,17
DEAD END,4,7,10,12,-,8,9,13,-
Dead Heat,4,6,10,14,-,6,10,14,-
Decade,2,5,8,11,-,5,8,12,-
ΔMAX,3,5,13,17,17,7,14,17,18
Desert Journey,3,5,8,12,15,5,8,12,15
Destination,4,9,12,15,-,9,12,15,-
DESTINY,3,3,7,10,-,3,8,11,-
Destiny lovers,3,4,7,13,-,4,7,12,-
Determination,2,5,8,14,-,6,9,14,-
Diamond Dust,1,5,7,10,13,5,8,11,13
Diamond Night,3,5,8,12,14,5,8,11,14
Din Don Dan,2,5,7,10,12,5,7,10,12
dirty digital,1,4,7,11,13,4,7,11,13
Dispersion Star,3,5,9,13,-,5,9,14,-
District of the Shadows,3,6,12,16,-,6,12,16,-
DIVE TO THE NIGHT,3,4,8,11,-,5,9,12,-
Do The Evolution,1,4,7,10,-,5,9,13,-
DoLL,4,5,8,12,13,5,8,12,14
Don't Stop!～AMD 2nd MIX～,3,5,6,10,-,4,5,8,-
Dragon Blade,5,9,10,11,-,9,11,11,-
Dream Machine,3,6,8,11,-,5,8,11,-
dream of love,3,3,6,8,-,5,7,8,-
Dreamin’,2,4,6,9,12,5,6,9,12
dreaming can make a wish come true,2,4,7,11,-,4,8,11,-
DREAMING-ING!!,3,6,10,12,-,6,10,12,-
DROP,1,4,7,11,-,4,7,13,-
DROP OUT,4,8,10,13,-,5,9,13,-
DROP OUT(FROM NONSTOP MEGAMIX),-,-,-,-,12,-,-,-,13
DROP THE BOMB,3,5,7,10,-,5,8,10,-
DROP THE BOMB(SyS.F. Mix),3,5,7,10,-,4,5,10,-
Drop The Bounce,3,7,10,14,-,8,11,15,-
Dummy,2,4,7,10,-,4,7,11,-
DXY!,5,6,9,12,-,6,9,12,-
DYNAMITE RAVE,3,6,10,12,12,6,7,11,12
"DYNAMITE RAVE (""AIR"" Special)",-,-,-,-,8,-,-,-,9
e-motion,2,5,6,8,-,6,8,11,-
ECSTASY,4,5,8,10,-,6,8,11,-
ECSTASY (midnight blue mix),-,-,-,-,11,-,-,-,11
EGOISM 440,9,10,13,18,19,10,14,17,19
Electric Dance System Music,2,5,10,14,-,6,10,14,-
Electrified,3,4,6,10,-,5,6,11,-
Electro Tuned ( the SubS Mix ),4,6,9,12,-,5,9,11,-
Electronic or Treat!,3,7,12,15,-,7,12,15,-
Elemental Creation,8,11,14,17,18,11,14,17,18
Elysium,1,5,8,11,13,5,8,11,13
Emera,3,6,11,15,17,7,11,15,18
Empathetic,4,7,11,14,-,7,11,14,-
ENDYMION,9,13,15,18,19,13,15,18,19
Engraved Mark,3,8,12,15,-,8,13,15,-
era (nostalmix),4,5,8,11,-,5,7,11,-
escape,3,5,8,10,13,5,8,10,14
esrev:eR,2,5,9,13,-,5,9,12,-
Eternal Summer,2,6,9,13,-,6,9,13,-
ever snow,2,4,8,12,-,4,8,11,-
"Every Day, Every Night(NM STYLE)",3,4,6,9,-,4,7,10,-
Everything I Need,1,4,6,9,-,4,6,9,-
exotic ethnic,4,5,8,13,-,5,7,13,-
Far east nightbird,4,6,10,12,-,6,10,13,-
Far east nightbird kors k Remix -DDR edit ver-,3,7,11,13,-,7,11,13,-
Fascination ～eternal love mix～,9,11,13,16,18,10,13,17,17
Fascination MAXX,6,11,13,17,18,10,13,17,18
Feelings Won't Fade(Extend Trance Mix),4,5,8,12,-,5,9,12,-
